,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-19-1787-01
46,AURKAIP1,ENSG00000175756.13,hsa:54998,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,7.645
47,MRPL20,ENSG00000242485.5,hsa:55052,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.198
48,MRPL20,ENSG00000242485.5,hsa:55052,3011,Genes and Proteins,Protein families: genetic information processing,Ribosome,7.198
49,ATAD3B,ENSG00000160072.19,hsa:83858,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.198
50,ATAD3B,ENSG00000160072.19,hsa:83858,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,4.198
51,ATAD3A,ENSG00000197785.13,hsa:55210,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.77
52,ATAD3A,ENSG00000197785.13,hsa:55210,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,5.77
53,SSU72,ENSG00000160075.11,hsa:29101,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.989
54,SSU72,ENSG00000160075.11,hsa:29101,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.989
55,SSU72,ENSG00000160075.11,hsa:29101,3021,Genes and Proteins,Protein families: genetic information processing,Transcription machinery,6.989
56,SSU72,ENSG00000160075.11,hsa:29101,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,6.989
57,MIB2,ENSG00000197530.12,hsa:142678,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.324
58,MIB2,ENSG00000197530.12,hsa:142678,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.324
59,MIB2,ENSG00000197530.12,hsa:142678,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.324
60,MMP23B,ENSG00000189409.12,hsa:8510,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.221
61,MMP23B,ENSG00000189409.12,hsa:8510,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.221
62,MMP23B,ENSG00000189409.12,hsa:8510,1002,Genes and Proteins,Protein families: metabolism,Peptidases,2.221
63,CDK11B,ENSG00000248333.7,hsa:984,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.424
64,CDK11B,ENSG00000248333.7,hsa:984,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.424
65,CDK11B,ENSG00000248333.7,hsa:984,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,5.424
66,CDK11B,ENSG00000248333.7,hsa:984,3041,Genes and Proteins,Protein families: genetic information processing,Spliceosome,5.424
67,SLC35E2B,ENSG00000189339.11,hsa:728661,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.394
68,SLC35E2B,ENSG00000189339.11,hsa:728661,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.394
69,CDK11A,ENSG00000008128.22,hsa:728642,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.765
70,CDK11A,ENSG00000008128.22,hsa:728642,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.765
71,CDK11A,ENSG00000008128.22,hsa:728642,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,4.765
72,CDK11A,ENSG00000008128.22,hsa:728642,3041,Genes and Proteins,Protein families: genetic information processing,Spliceosome,4.765
73,NADK,ENSG00000008130.15,hsa:65220,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.201
74,NADK,ENSG00000008130.15,hsa:65220,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.201
75,GNB1,ENSG00000078369.17,hsa:2782,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.861
76,GNB1,ENSG00000078369.17,hsa:2782,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,7.861
77,GNB1,ENSG00000078369.17,hsa:2782,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,7.861
78,CALML6,ENSG00000169885.9,hsa:163688,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458
79,CALML6,ENSG00000169885.9,hsa:163688,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-3.458
80,CALML6,ENSG00000169885.9,hsa:163688,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-3.458
81,CALML6,ENSG00000169885.9,hsa:163688,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-3.458
82,CALML6,ENSG00000169885.9,hsa:163688,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-3.458
83,GABRD,ENSG00000187730.7,hsa:2563,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.388
84,GABRD,ENSG00000187730.7,hsa:2563,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-2.388
85,PRKCZ,ENSG00000067606.15,hsa:5590,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.886
86,PRKCZ,ENSG00000067606.15,hsa:5590,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.886
87,PRKCZ,ENSG00000067606.15,hsa:5590,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.886
88,PEX10,ENSG00000157911.9,hsa:5192,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.541
89,PEX10,ENSG00000157911.9,hsa:5192,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.541
90,PLCH2,ENSG00000149527.17,hsa:9651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.749
91,PLCH2,ENSG00000149527.17,hsa:9651,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.749
92,PLCH2,ENSG00000149527.17,hsa:9651,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.749
93,PANK4,ENSG00000157881.13,hsa:55229,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.282
94,PANK4,ENSG00000157881.13,hsa:55229,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.282
95,HES5,ENSG00000197921.5,hsa:388585,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1665
96,HES5,ENSG00000197921.5,hsa:388585,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.1665
97,TNFRSF14,ENSG00000157873.17,hsa:8764,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.596
98,TNFRSF14,ENSG00000157873.17,hsa:8764,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,4.596
99,TNFRSF14,ENSG00000157873.17,hsa:8764,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,4.596
100,MMEL1,ENSG00000142606.15,hsa:79258,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4865
101,MMEL1,ENSG00000142606.15,hsa:79258,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.4865
102,MMEL1,ENSG00000142606.15,hsa:79258,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.4865
103,PRDM16,ENSG00000142611.16,hsa:63976,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.679
104,PRDM16,ENSG00000142611.16,hsa:63976,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.679
105,ARHGEF16,ENSG00000130762.14,hsa:27237,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.111
106,ARHGEF16,ENSG00000130762.14,hsa:27237,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.111
107,TP73,ENSG00000078900.14,hsa:7161,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.275
108,TP73,ENSG00000078900.14,hsa:7161,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.275
109,CEP104,ENSG00000116198.12,hsa:9731,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.796
110,CEP104,ENSG00000116198.12,hsa:9731,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.796
111,DFFB,ENSG00000169598.15,hsa:1677,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.852
112,DFFB,ENSG00000169598.15,hsa:1677,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.852
113,AJAP1,ENSG00000196581.10,hsa:55966,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.315
114,AJAP1,ENSG00000196581.10,hsa:55966,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,-2.315
115,NPHP4,ENSG00000131697.17,hsa:261734,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.711
116,NPHP4,ENSG00000131697.17,hsa:261734,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.711
117,KCNAB2,ENSG00000069424.14,hsa:8514,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.819
118,KCNAB2,ENSG00000069424.14,hsa:8514,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.819
119,CHD5,ENSG00000116254.17,hsa:26038,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458
120,CHD5,ENSG00000116254.17,hsa:26038,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.458
121,CHD5,ENSG00000116254.17,hsa:26038,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-3.458
122,RPL22,ENSG00000116251.9,hsa:6146,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.612
123,RPL22,ENSG00000116251.9,hsa:6146,3011,Genes and Proteins,Protein families: genetic information processing,Ribosome,8.612
124,ICMT,ENSG00000116237.15,hsa:23463,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.727
125,ICMT,ENSG00000116237.15,hsa:23463,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.727
126,HES3,ENSG00000173673.7,hsa:390992,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
127,HES3,ENSG00000173673.7,hsa:390992,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-9.966
128,GPR153,ENSG00000158292.6,hsa:387509,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6608
129,GPR153,ENSG00000158292.6,hsa:387509,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.6608
130,ACOT7,ENSG00000097021.19,hsa:11332,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.252
131,ACOT7,ENSG00000097021.19,hsa:11332,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.252
132,ACOT7,ENSG00000097021.19,hsa:11332,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.252
133,ACOT7,ENSG00000097021.19,hsa:11332,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,6.252
134,HES2,ENSG00000069812.11,hsa:54626,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3115
135,HES2,ENSG00000069812.11,hsa:54626,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.3115
136,TNFRSF25,ENSG00000215788.9,hsa:8718,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.118
137,TNFRSF25,ENSG00000215788.9,hsa:8718,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,1.118
138,PLEKHG5,ENSG00000171680.20,hsa:57449,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.196
139,NOL9,ENSG00000162408.10,hsa:79707,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.971
140,NOL9,ENSG00000162408.10,hsa:79707,3009,Genes and Proteins,Protein families: genetic information processing,Ribosome biogenesis,2.971
141,NOL9,ENSG00000162408.10,hsa:79707,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.971
142,TAS1R1,ENSG00000173662.19,hsa:80835,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.001
143,TAS1R1,ENSG00000173662.19,hsa:80835,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,1.001
144,ZBTB48,ENSG00000204859.11,hsa:3104,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.024
145,ZBTB48,ENSG00000204859.11,hsa:3104,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.024
146,KLHL21,ENSG00000162413.16,hsa:9903,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.53
147,KLHL21,ENSG00000162413.16,hsa:9903,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.53
148,THAP3,ENSG00000041988.15,hsa:90326,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.694
149,THAP3,ENSG00000041988.15,hsa:90326,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.694
150,THAP3,ENSG00000041988.15,hsa:90326,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.694
151,DNAJC11,ENSG00000007923.15,hsa:55735,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.001
152,DNAJC11,ENSG00000007923.15,hsa:55735,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,5.001
153,CAMTA1,ENSG00000171735.18,hsa:23261,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.523
154,CAMTA1,ENSG00000171735.18,hsa:23261,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,7.523
155,VAMP3,ENSG00000049245.12,hsa:9341,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.706
156,VAMP3,ENSG00000049245.12,hsa:9341,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.706
157,PER3,ENSG00000049246.14,hsa:8863,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.572
158,PER3,ENSG00000049246.14,hsa:8863,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,4.572
159,UTS2,ENSG00000049247.13,hsa:10911,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
160,TNFRSF9,ENSG00000049249.8,hsa:3604,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.053
161,TNFRSF9,ENSG00000049249.8,hsa:3604,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-2.053
162,TNFRSF9,ENSG00000049249.8,hsa:3604,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-2.053
163,PARK7,ENSG00000116288.12,hsa:11315,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.837
164,PARK7,ENSG00000116288.12,hsa:11315,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,8.837
165,PARK7,ENSG00000116288.12,hsa:11315,1000,Genes and Proteins,Protein families: metabolism,Enzymes,8.837
166,PARK7,ENSG00000116288.12,hsa:11315,1002,Genes and Proteins,Protein families: metabolism,Peptidases,8.837
167,SLC45A1,ENSG00000162426.14,hsa:50651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.658
168,SLC45A1,ENSG00000162426.14,hsa:50651,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.658
169,ENO1,ENSG00000074800.13,hsa:2023,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),10.73
170,ENO1,ENSG00000074800.13,hsa:2023,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,10.73
171,ENO1,ENSG00000074800.13,hsa:2023,1000,Genes and Proteins,Protein families: metabolism,Enzymes,10.73
172,ENO1,ENSG00000074800.13,hsa:2023,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,10.73
173,CA6,ENSG00000131686.14,hsa:765,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
174,CA6,ENSG00000131686.14,hsa:765,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.966
175,SLC2A7,ENSG00000197241.3,hsa:155184,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
176,SLC2A7,ENSG00000197241.3,hsa:155184,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-9.966
177,SLC2A5,ENSG00000142583.17,hsa:6518,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.509
178,SLC2A5,ENSG00000142583.17,hsa:6518,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.509
179,GPR157,ENSG00000180758.11,hsa:80045,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8339
180,GPR157,ENSG00000180758.11,hsa:80045,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-0.8339
181,MIR34A,ENSG00000207865.1,hsa:407040,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
182,MIR34A,ENSG00000207865.1,hsa:407040,3100,Genes and Proteins,RNA family,Non-coding RNAs,-9.966
183,H6PD,ENSG00000049239.12,hsa:9563,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.31
184,H6PD,ENSG00000049239.12,hsa:9563,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.31
185,SPSB1,ENSG00000171621.13,hsa:80176,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.659
186,SPSB1,ENSG00000171621.13,hsa:80176,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.659
187,SLC25A33,ENSG00000171612.6,hsa:84275,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.572
188,SLC25A33,ENSG00000171612.6,hsa:84275,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.572
189,PIK3CD,ENSG00000171608.15,hsa:5293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0
190,PIK3CD,ENSG00000171608.15,hsa:5293,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.0
191,PIK3CD,ENSG00000171608.15,hsa:5293,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.0
192,CLSTN1,ENSG00000171603.16,hsa:22883,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.918
193,CLSTN1,ENSG00000171603.16,hsa:22883,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,6.918
194,CTNNBIP1,ENSG00000178585.14,hsa:56998,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.499
195,NMNAT1,ENSG00000173614.13,hsa:64802,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.053
196,NMNAT1,ENSG00000173614.13,hsa:64802,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.053
197,UBE4B,ENSG00000130939.18,hsa:10277,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.759
198,UBE4B,ENSG00000130939.18,hsa:10277,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,4.759
199,UBE4B,ENSG00000130939.18,hsa:10277,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.759
200,KIF1B,ENSG00000054523.16,hsa:23095,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.273
201,KIF1B,ENSG00000054523.16,hsa:23095,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,5.273
202,PGD,ENSG00000142657.20,hsa:5226,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.535
203,PGD,ENSG00000142657.20,hsa:5226,1000,Genes and Proteins,Protein families: metabolism,Enzymes,7.535
204,CORT,ENSG00000241563.3,hsa:1325,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5332
205,DFFA,ENSG00000160049.11,hsa:1676,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.36
206,PEX14,ENSG00000142655.12,hsa:5195,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.645
207,PEX14,ENSG00000142655.12,hsa:5195,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.645
208,MASP2,ENSG00000009724.16,hsa:10747,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4016
209,MASP2,ENSG00000009724.16,hsa:10747,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.4016
210,MASP2,ENSG00000009724.16,hsa:10747,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.4016
211,SRM,ENSG00000116649.9,hsa:6723,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.167
212,SRM,ENSG00000116649.9,hsa:6723,1000,Genes and Proteins,Protein families: metabolism,Enzymes,7.167
213,EXOSC10,ENSG00000171824.13,hsa:5394,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.696
214,EXOSC10,ENSG00000171824.13,hsa:5394,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.696
215,EXOSC10,ENSG00000171824.13,hsa:5394,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,5.696
216,MTOR,ENSG00000198793.12,hsa:2475,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.962
217,MTOR,ENSG00000198793.12,hsa:2475,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.962
218,MTOR,ENSG00000198793.12,hsa:2475,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.962
219,MTOR,ENSG00000198793.12,hsa:2475,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,4.962
220,UBIAD1,ENSG00000120942.13,hsa:29914,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.657
