,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
31,CALML6,ENSG00000169885.9,hsa:163688,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0847,-1.934095884877374
32,CALML6,ENSG00000169885.9,hsa:163688,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.0847,-1.934095884877374
33,CALML6,ENSG00000169885.9,hsa:163688,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.0847,-1.934095884877374
34,CALML6,ENSG00000169885.9,hsa:163688,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,1.0847,-1.934095884877374
35,CALML6,ENSG00000169885.9,hsa:163688,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,1.0847,-1.934095884877374
36,GABRD,ENSG00000187730.7,hsa:2563,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8117,0.6294105281052401
37,GABRD,ENSG00000187730.7,hsa:2563,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,2.8117,0.6294105281052401
38,PLCH2,ENSG00000149527.17,hsa:9651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2056,0.7172219453832612
39,PLCH2,ENSG00000149527.17,hsa:9651,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.2056,0.7172219453832612
40,PLCH2,ENSG00000149527.17,hsa:9651,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.2056,0.7172219453832612
41,HES5,ENSG00000197921.5,hsa:388585,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.1903,-4.299858645594635
42,HES5,ENSG00000197921.5,hsa:388585,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.1903,-4.299858645594635
43,TNFRSF14,ENSG00000157873.17,hsa:8764,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.4877,4.9593220195260885
44,TNFRSF14,ENSG00000157873.17,hsa:8764,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,6.4877,4.9593220195260885
45,TNFRSF14,ENSG00000157873.17,hsa:8764,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,6.4877,4.9593220195260885
46,MMEL1,ENSG00000142606.15,hsa:79258,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5723,2.580999865506453
47,MMEL1,ENSG00000142606.15,hsa:79258,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.5723,2.580999865506453
48,MMEL1,ENSG00000142606.15,hsa:79258,1002,Genes and Proteins,Protein families: metabolism,Peptidases,4.5723,2.580999865506453
49,PRDM16,ENSG00000142611.16,hsa:63976,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-2.4002193902659323
50,PRDM16,ENSG00000142611.16,hsa:63976,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-2.2447,-2.4002193902659323
51,ARHGEF16,ENSG00000130762.14,hsa:27237,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2634,3.1893311766103083
52,ARHGEF16,ENSG00000130762.14,hsa:27237,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.2634,3.1893311766103083
53,TP73,ENSG00000078900.14,hsa:7161,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0808,0.08200716284739447
54,TP73,ENSG00000078900.14,hsa:7161,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.0808,0.08200716284739447
55,AJAP1,ENSG00000196581.10,hsa:55966,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-2.9049395942994396
56,AJAP1,ENSG00000196581.10,hsa:55966,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,-4.035,-2.9049395942994396
57,KCNAB2,ENSG00000069424.14,hsa:8514,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3163,2.494250288215704
58,KCNAB2,ENSG00000069424.14,hsa:8514,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.3163,2.494250288215704
59,CHD5,ENSG00000116254.17,hsa:26038,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.8262,-4.596273551170413
60,CHD5,ENSG00000116254.17,hsa:26038,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.8262,-4.596273551170413
61,CHD5,ENSG00000116254.17,hsa:26038,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.8262,-4.596273551170413
62,GPR153,ENSG00000158292.6,hsa:387509,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0218,1.9668073080003363
63,GPR153,ENSG00000158292.6,hsa:387509,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,2.0218,1.9668073080003363
64,ACOT7,ENSG00000097021.19,hsa:11332,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.7573,4.581929803963457
65,ACOT7,ENSG00000097021.19,hsa:11332,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.7573,4.581929803963457
66,ACOT7,ENSG00000097021.19,hsa:11332,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.7573,4.581929803963457
67,ACOT7,ENSG00000097021.19,hsa:11332,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,5.7573,4.581929803963457
68,HES2,ENSG00000069812.11,hsa:54626,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.5479,-0.26341675857023245
69,HES2,ENSG00000069812.11,hsa:54626,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-2.5479,-0.26341675857023245
70,TNFRSF25,ENSG00000215788.9,hsa:8718,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0199,2.223287616494396
71,TNFRSF25,ENSG00000215788.9,hsa:8718,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,3.0199,2.223287616494396
72,PLEKHG5,ENSG00000171680.20,hsa:57449,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8242,2.1908980813587506
73,TAS1R1,ENSG00000173662.19,hsa:80835,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458,-4.074414135707421
74,TAS1R1,ENSG00000173662.19,hsa:80835,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-3.458,-4.074414135707421
75,KLHL21,ENSG00000162413.16,hsa:9903,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.1429,3.752223867333786
76,KLHL21,ENSG00000162413.16,hsa:9903,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.1429,3.752223867333786
77,PER3,ENSG00000049246.14,hsa:8863,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.791,2.797181440666986
78,PER3,ENSG00000049246.14,hsa:8863,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,2.791,2.797181440666986
79,UTS2,ENSG00000049247.13,hsa:10911,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-3.5402440881644663
80,TNFRSF9,ENSG00000049249.8,hsa:3604,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.816,-1.1913623783889447
81,TNFRSF9,ENSG00000049249.8,hsa:3604,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-3.816,-1.1913623783889447
82,TNFRSF9,ENSG00000049249.8,hsa:3604,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-3.816,-1.1913623783889447
83,SLC45A1,ENSG00000162426.14,hsa:50651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.5136,0.3732812992211495
84,SLC45A1,ENSG00000162426.14,hsa:50651,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.5136,0.3732812992211495
85,ENO1,ENSG00000074800.13,hsa:2023,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),9.0266,9.201436417457666
86,ENO1,ENSG00000074800.13,hsa:2023,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,9.0266,9.201436417457666
87,ENO1,ENSG00000074800.13,hsa:2023,1000,Genes and Proteins,Protein families: metabolism,Enzymes,9.0266,9.201436417457666
88,ENO1,ENSG00000074800.13,hsa:2023,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,9.0266,9.201436417457666
89,SLC2A5,ENSG00000142583.17,hsa:6518,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8339,0.451771117073285
90,SLC2A5,ENSG00000142583.17,hsa:6518,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-0.8339,0.451771117073285
91,GPR157,ENSG00000180758.11,hsa:80045,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2914,2.3992770519978577
92,GPR157,ENSG00000180758.11,hsa:80045,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,4.2914,2.3992770519978577
93,SPSB1,ENSG00000171621.13,hsa:80176,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6905,3.894465020467701
94,SPSB1,ENSG00000171621.13,hsa:80176,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,3.6905,3.894465020467701
95,SLC25A33,ENSG00000171612.6,hsa:84275,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2573,2.1147395041359203
96,SLC25A33,ENSG00000171612.6,hsa:84275,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.2573,2.1147395041359203
97,PIK3CD,ENSG00000171608.15,hsa:5293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1512,1.857668349311639
98,PIK3CD,ENSG00000171608.15,hsa:5293,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.1512,1.857668349311639
99,PIK3CD,ENSG00000171608.15,hsa:5293,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.1512,1.857668349311639
100,CTNNBIP1,ENSG00000178585.14,hsa:56998,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.4423,4.7857643249429405
101,CORT,ENSG00000241563.3,hsa:1325,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5125,-2.5698534122351924
102,MASP2,ENSG00000009724.16,hsa:10747,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.24,-1.4907668194323669
103,MASP2,ENSG00000009724.16,hsa:10747,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.24,-1.4907668194323669
104,MASP2,ENSG00000009724.16,hsa:10747,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.24,-1.4907668194323669
105,FBXO2,ENSG00000116661.9,hsa:26232,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.7103,2.9480341619580375
106,FBXO2,ENSG00000116661.9,hsa:26232,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,6.7103,2.9480341619580375
107,FBXO2,ENSG00000116661.9,hsa:26232,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,6.7103,2.9480341619580375
108,FBXO44,ENSG00000132879.13,hsa:93611,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.4077,3.6988546513259526
109,FBXO44,ENSG00000132879.13,hsa:93611,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.4077,3.6988546513259526
110,FBXO44,ENSG00000132879.13,hsa:93611,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,5.4077,3.6988546513259526
111,MTHFR,ENSG00000177000.10,hsa:4524,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.851,2.7100123873460142
112,MTHFR,ENSG00000177000.10,hsa:4524,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.851,2.7100123873460142
113,CLCN6,ENSG00000011021.21,hsa:1185,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2205,2.000437234129618
114,CLCN6,ENSG00000011021.21,hsa:1185,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.2205,2.000437234129618
115,NPPA,ENSG00000175206.10,hsa:4878,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.2934,-5.20205974604348
116,TNFRSF8,ENSG00000120949.14,hsa:943,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1488,-0.959036507428375
117,TNFRSF8,ENSG00000120949.14,hsa:943,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-1.1488,-0.959036507428375
118,TNFRSF8,ENSG00000120949.14,hsa:943,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-1.1488,-0.959036507428375
119,TNFRSF1B,ENSG00000028137.16,hsa:7133,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6325,3.5537575289619814
120,TNFRSF1B,ENSG00000028137.16,hsa:7133,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.6325,3.5537575289619814
121,TNFRSF1B,ENSG00000028137.16,hsa:7133,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.6325,3.5537575289619814
122,DHRS3,ENSG00000162496.8,hsa:9249,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1579,5.098731517709118
123,DHRS3,ENSG00000162496.8,hsa:9249,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.1579,5.098731517709118
124,PDPN,ENSG00000162493.16,hsa:10630,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2693,3.4888596092537294
125,PDPN,ENSG00000162493.16,hsa:10630,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.2693,3.4888596092537294
126,CTRC,ENSG00000162438.11,hsa:11330,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-5.348602273657865
127,CTRC,ENSG00000162438.11,hsa:11330,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-5.348602273657865
128,CTRC,ENSG00000162438.11,hsa:11330,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-4.6082,-5.348602273657865
129,AGMAT,ENSG00000116771.5,hsa:79814,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5634,-0.27694289343577083
130,AGMAT,ENSG00000116771.5,hsa:79814,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5634,-0.27694289343577083
131,SLC25A34,ENSG00000162461.7,hsa:284723,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7321,-1.5183358711972248
132,SLC25A34,ENSG00000162461.7,hsa:284723,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.7321,-1.5183358711972248
133,HSPB7,ENSG00000173641.17,hsa:27129,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2029,0.6392966875691897
134,HSPB7,ENSG00000173641.17,hsa:27129,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,0.2029,0.6392966875691897
135,CLCNKA,ENSG00000186510.11,hsa:1187,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.1519,-1.9095543155007135
136,CLCNKA,ENSG00000186510.11,hsa:1187,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,0.1519,-1.9095543155007135
137,CLCNKB,ENSG00000184908.17,hsa:1188,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-3.226141399019486
138,CLCNKB,ENSG00000184908.17,hsa:1188,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-4.035,-3.226141399019486
139,EPHA2,ENSG00000142627.12,hsa:1969,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2147,2.186023968568042
140,EPHA2,ENSG00000142627.12,hsa:1969,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.2147,2.186023968568042
141,EPHA2,ENSG00000142627.12,hsa:1969,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.2147,2.186023968568042
142,ARHGEF19,ENSG00000142632.16,hsa:128272,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2728,3.7559837255126522
143,ARHGEF19,ENSG00000142632.16,hsa:128272,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.2728,3.7559837255126522
144,CROCC,ENSG00000058453.16,hsa:9696,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2947,2.9508242785538576
145,CROCC,ENSG00000058453.16,hsa:9696,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.2947,2.9508242785538576
146,PADI2,ENSG00000117115.12,hsa:11240,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5338,3.479238884500066
147,PADI2,ENSG00000117115.12,hsa:11240,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5338,3.479238884500066
148,PADI1,ENSG00000142623.9,hsa:29943,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-6.394238750533234
149,PADI1,ENSG00000142623.9,hsa:29943,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.0116,-6.394238750533234
150,PADI3,ENSG00000142619.4,hsa:51702,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-3.74366160614824
151,PADI3,ENSG00000142619.4,hsa:51702,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-3.74366160614824
152,PADI4,ENSG00000159339.13,hsa:23569,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.114,-5.40960755520261
153,PADI4,ENSG00000159339.13,hsa:23569,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.114,-5.40960755520261
154,ARHGEF10L,ENSG00000074964.16,hsa:55160,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.1339,3.8952244014557205
155,ARHGEF10L,ENSG00000074964.16,hsa:55160,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.1339,3.8952244014557205
156,ARHGEF10L,ENSG00000074964.16,hsa:55160,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.1339,3.8952244014557205
157,ALDH4A1,ENSG00000159423.16,hsa:8659,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9965,3.814943423815744
158,ALDH4A1,ENSG00000159423.16,hsa:8659,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.9965,3.814943423815744
159,AKR7A3,ENSG00000162482.4,hsa:22977,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6793,3.0011632904261485
160,NBL1,ENSG00000158747.13,hsa:4681,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.6485,6.723753395924398
161,HTR6,ENSG00000158748.3,hsa:3362,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-6.565989748776321
162,HTR6,ENSG00000158748.3,hsa:3362,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-5.0116,-6.565989748776321
163,OTUD3,ENSG00000169914.5,hsa:23252,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.1378,1.4145466227698071
164,OTUD3,ENSG00000169914.5,hsa:23252,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,2.1378,1.4145466227698071
165,OTUD3,ENSG00000169914.5,hsa:23252,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.1378,1.4145466227698071
166,OTUD3,ENSG00000169914.5,hsa:23252,1002,Genes and Proteins,Protein families: metabolism,Peptidases,2.1378,1.4145466227698071
167,PLA2G2A,ENSG00000188257.10,hsa:5320,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1665,1.7655977194157384
168,PLA2G2A,ENSG00000188257.10,hsa:5320,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.1665,1.7655977194157384
169,PLA2G2A,ENSG00000188257.10,hsa:5320,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-0.1665,1.7655977194157384
170,PLA2G5,ENSG00000127472.10,hsa:5322,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.9406,-0.32317780354096026
171,PLA2G5,ENSG00000127472.10,hsa:5322,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.9406,-0.32317780354096026
172,PLA2G5,ENSG00000127472.10,hsa:5322,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-0.9406,-0.32317780354096026
173,PLA2G2D,ENSG00000117215.14,hsa:26279,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.2481,-0.6251103438662543
174,PLA2G2D,ENSG00000117215.14,hsa:26279,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.2481,-0.6251103438662543
175,PLA2G2D,ENSG00000117215.14,hsa:26279,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-1.2481,-0.6251103438662543
176,PLA2G2F,ENSG00000158786.4,hsa:64600,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-7.7314176118337095
177,PLA2G2F,ENSG00000158786.4,hsa:64600,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-7.7314176118337095
178,PLA2G2F,ENSG00000158786.4,hsa:64600,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-4.6082,-7.7314176118337095
179,PLA2G2C,ENSG00000187980.6,hsa:391013,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.114,-4.7758416734074665
180,PLA2G2C,ENSG00000187980.6,hsa:391013,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.114,-4.7758416734074665
181,PLA2G2C,ENSG00000187980.6,hsa:391013,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.114,-4.7758416734074665
182,CDA,ENSG00000158825.5,hsa:978,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7702,1.2035117578017158
183,CDA,ENSG00000158825.5,hsa:978,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.7702,1.2035117578017158
184,PINK1,ENSG00000158828.5,hsa:65018,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6918,5.261879464946364
185,PINK1,ENSG00000158828.5,hsa:65018,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.6918,5.261879464946364
186,PINK1,ENSG00000158828.5,hsa:65018,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,6.6918,5.261879464946364
187,PINK1,ENSG00000158828.5,hsa:65018,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.6918,5.261879464946364
188,PINK1,ENSG00000158828.5,hsa:65018,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,6.6918,5.261879464946364
189,KIF17,ENSG00000117245.12,hsa:57576,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.0574,-0.18773497818924403
